                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.76215,                 1.4743,                0.76607,                 1.0806,                0.67556,                0.67745,                0.70528,                 0.5079,                0.65293,                0.63864,                0.65552,                0.41228,                0.89242,                 1.7723,                0.90307,                 1.1794,             0.00049504,             0.00049504,             0.00049504
                     25,                 0.7507,                 1.4466,                0.74162,                 1.0817,                0.71221,                0.68744,                0.71064,                0.51354,                0.68951,                0.64847,                0.66545,                0.41697,                0.88691,                 1.7596,                0.91513,                 1.1751,             0.00047704,             0.00047704,             0.00047704
                     26,                0.76525,                 1.4957,                0.74996,                 1.0785,                0.68603,                0.68694,                0.70563,                0.51374,                0.66586,                0.66009,                0.67579,                0.42734,                0.85871,                 1.7449,                0.88991,                 1.1432,             0.00045904,             0.00045904,             0.00045904
                     27,                0.74183,                  1.447,                0.72507,                 1.0742,                0.73176,                0.69541,                0.73973,                0.54604,                0.70472,                0.68875,                0.71831,                0.46346,                0.84949,                 1.6459,                0.80955,                 1.1495,             0.00044105,             0.00044105,             0.00044105
                     28,                0.73258,                 1.3874,                0.69328,                 1.0542,                0.70807,                0.70774,                0.74389,                0.54591,                0.69992,                0.70154,                0.71607,                0.46112,                0.85063,                 1.6278,                0.80809,                 1.1416,             0.00042305,             0.00042305,             0.00042305
                     29,                0.71461,                 1.3748,                0.67542,                 1.0477,                0.69422,                0.70751,                0.74119,                0.54592,                0.69902,                0.68203,                0.71346,                0.44809,                0.80608,                  1.644,                   0.81,                 1.1099,             0.00040505,             0.00040505,             0.00040505
                     30,                 0.7125,                 1.3661,                0.68079,                 1.0539,                0.72459,                0.73206,                0.75411,                0.56034,                0.70286,                 0.7062,                0.71702,                0.46255,                0.80655,                 1.6348,                0.77798,                 1.1115,             0.00038705,             0.00038705,             0.00038705
                     31,                0.69288,                 1.3319,                 0.6661,                   1.04,                 0.7447,                 0.7068,                0.75801,                0.55085,                0.71565,                 0.6861,                0.72125,                0.45296,                0.84528,                 1.6645,                0.82408,                 1.1378,             0.00036905,             0.00036905,             0.00036905
                     32,                0.69955,                 1.3724,                0.66145,                 1.0466,                0.74327,                0.73155,                0.75584,                0.56296,                0.72864,                0.70557,                0.72256,                0.46881,                0.79111,                 1.6394,                0.74843,                 1.1094,             0.00035106,             0.00035106,             0.00035106
                     33,                0.67117,                 1.2579,                0.59965,                 1.0211,                0.73128,                0.72328,                0.75735,                0.56127,                0.70718,                0.70385,                0.72446,                0.47881,                0.77767,                 1.5604,                0.76156,                 1.0876,             0.00033306,             0.00033306,             0.00033306
                     34,                0.67427,                 1.2613,                0.60606,                 1.0298,                 0.7482,                0.71885,                0.76862,                0.57526,                0.73577,                0.70613,                0.74238,                 0.4941,                0.77685,                 1.5706,                0.74397,                 1.0978,             0.00031506,             0.00031506,             0.00031506
                     35,                0.66644,                 1.2737,                0.60472,                 1.0212,                0.72514,                0.73296,                 0.7578,                 0.5712,                0.71701,                0.71504,                0.72814,                0.47886,                0.77495,                 1.5896,                0.77078,                 1.0899,             0.00029706,             0.00029706,             0.00029706
                     36,                0.65728,                 1.2339,                0.59848,                 1.0267,                0.75964,                0.73636,                0.77772,                0.58616,                0.73698,                0.71696,                0.74398,                 0.4951,                0.76976,                 1.5221,                0.73814,                 1.0959,             0.00027906,             0.00027906,             0.00027906
                     37,                0.64683,                 1.1795,                0.55697,                 1.0112,                0.74913,                0.78196,                0.80251,                0.59979,                0.73689,                0.75636,                0.76993,                0.51339,                0.74961,                 1.4773,                0.68617,                  1.077,             0.00026106,             0.00026106,             0.00026106
                     38,                0.63548,                 1.1807,                0.56575,                 1.0052,                0.75915,                0.74431,                0.79949,                0.60625,                0.74362,                0.72974,                0.77298,                0.52028,                0.73389,                 1.4986,                0.66145,                 1.0703,             0.00024307,             0.00024307,             0.00024307
                     39,                0.64678,                 1.2251,                0.56066,                 1.0077,                0.78324,                0.76594,                0.81275,                0.61045,                0.77437,                 0.7482,                0.79102,                0.52249,                0.74572,                 1.5315,                0.67302,                 1.0753,             0.00022507,             0.00022507,             0.00022507
                     40,                0.63084,                 1.1641,                0.53971,                  1.006,                0.73402,                0.79292,                0.80965,                0.61337,                0.77743,                0.71947,                0.78828,                0.53566,                0.73131,                 1.4255,                0.66401,                  1.065,             0.00020707,             0.00020707,             0.00020707
                     41,                0.64849,                 1.1687,                0.54729,                 1.0264,                0.73257,                0.75497,                0.79375,                0.60208,                0.71905,                0.73309,                0.76966,                0.52378,                0.74252,                 1.5216,                0.68319,                  1.077,             0.00018907,             0.00018907,             0.00018907
                     42,                0.64598,                 1.1451,                0.53818,                 1.0174,                0.74412,                0.78103,                0.80527,                0.60851,                0.72902,                0.76342,                0.77881,                0.53248,                0.74918,                 1.4725,                0.68341,                 1.0787,             0.00017107,             0.00017107,             0.00017107
                     43,                0.61833,                 1.0897,                0.50241,                0.99796,                0.77876,                0.77068,                0.82317,                0.61587,                0.76591,                0.73747,                0.79317,                0.53654,                0.72425,                 1.4398,                0.64984,                 1.0664,             0.00015308,             0.00015308,             0.00015308
                     44,                0.61147,                 1.0775,                0.48696,                 1.0061,                0.79317,                0.78034,                 0.8311,                0.63709,                0.80126,                0.74457,                0.80972,                0.55444,                 0.7003,                 1.4036,                0.61087,                 1.0483,             0.00013508,             0.00013508,             0.00013508
                     45,                0.59707,                 1.0651,                0.47569,                0.99621,                0.77003,                0.78212,                0.82201,                0.62867,                0.74978,                0.76172,                0.79436,                0.54489,                0.71121,                 1.4324,                0.61943,                 1.0513,             0.00011708,             0.00011708,             0.00011708
                     46,                0.57929,                 1.0229,                0.45023,                0.98605,                0.78043,                0.83332,                0.83871,                0.63834,                 0.7704,                 0.8071,                0.81641,                0.55823,                0.69449,                 1.4221,                 0.6073,                  1.041,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     47,                0.57816,                  1.023,                0.45128,                0.98262,                0.76564,                 0.8276,                0.83983,                0.63851,                0.75349,                0.80986,                0.81772,                0.56195,                0.68369,                 1.4027,                0.59428,                 1.0388,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     48,                0.55663,                0.98278,                0.42954,                0.96417,                 0.7929,                0.80765,                0.84003,                0.64847,                0.78137,                0.78412,                0.81386,                0.56738,                0.67929,                 1.4221,                0.59616,                 1.0352,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     49,                0.55984,                0.99085,                0.42833,                0.96836,                0.82634,                0.78624,                0.84274,                0.65242,                0.80317,                 0.7965,                0.82234,                0.57254,                 0.6769,                 1.3956,                0.57852,                 1.0329,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     50,                0.55466,                0.98754,                0.41789,                0.96566,                 0.8093,                0.82061,                0.85148,                0.65703,                0.78976,                0.81731,                0.82815,                0.57393,                0.66524,                 1.3746,                0.57366,                 1.0286,             2.7088e-05,             2.7088e-05,             2.7088e-05
